Optimization Type,Function Name,Parameter,Method,Optimal x,Function Value,Iterations,Result,Time,Precision
Interval,Quadratic 1,"(-2, 2)",GoldenRatio,1.9961612425490007,-3.984630234137235,13,Failure,0.0061337947845458984,0.01
Interval,Quadratic 1,"(-2, 2)",Fibonacci,1.9961612425490007,-3.984630234137235,13,Failure,0.0008602142333984375,0.01
Interval,Quadratic 1,"(-2, 2)",Bisection,1.99609375,-3.9843597412109375,9,Failure,0.0008094310760498047,0.01
Interval,Quadratic 1,"(-4, 4)",GoldenRatio,3.9952550348414313,-7.999977485305644,14,Failure,0.0008256435394287109,0.01
Interval,Quadratic 1,"(-4, 4)",Fibonacci,3.9952550348414313,-7.999977485305644,14,Failure,0.0008296966552734375,0.01
Interval,Quadratic 1,"(-4, 4)",Bisection,3.99609375,-7.9999847412109375,10,Failure,0.0007941722869873047,0.01
Interval,Quadratic 1,"(-8, 8)",GoldenRatio,4.001547987569731,-7.999997603734485,16,Success,0.0009021759033203125,0.01
Interval,Quadratic 1,"(-8, 8)",Fibonacci,4.001547987569732,-7.999997603734485,16,Success,0.00081634521484375,0.01
Interval,Quadratic 1,"(-8, 8)",Bisection,3.99609375,-7.9999847412109375,11,Success,0.0007882118225097656,0.01
Interval,Quadratic 2,"(-2, 2)",GoldenRatio,-1.9961612425490007,1.4736058767450544e-05,13,Failure,0.0008726119995117188,0.01
Interval,Quadratic 2,"(-2, 2)",Fibonacci,-1.9961612425490007,1.4736058767450544e-05,13,Failure,0.0008244514465332031,0.01
Interval,Quadratic 2,"(-2, 2)",Bisection,-1.99609375,1.52587890625e-05,9,Failure,0.0007131099700927734,0.01
Interval,Quadratic 2,"(-4, 4)",GoldenRatio,-2.001466274871715,2.149961999542427e-06,14,Success,0.0007641315460205078,0.01
Interval,Quadratic 2,"(-4, 4)",Fibonacci,-2.0014662748717145,2.149961999542427e-06,14,Success,0.0007669925689697266,0.01
Interval,Quadratic 2,"(-4, 4)",Bisection,-2.00390625,1.52587890625e-05,10,Success,0.0007469654083251953,0.01
Interval,Quadratic 2,"(-8, 8)",GoldenRatio,-1.9987981529736927,1.4444362745891226e-06,16,Success,0.0008170604705810547,0.01
Interval,Quadratic 2,"(-8, 8)",Fibonacci,-1.9987981529736925,1.4444362745891226e-06,16,Success,0.0007648468017578125,0.01
Interval,Quadratic 2,"(-8, 8)",Bisection,-2.00390625,1.52587890625e-05,11,Success,0.000782012939453125,0.01
